START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
08/19/23,01:20 PM,02:20 PM,Royals at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",08/19/23,08/19/23,04:20 PM,05:20 PM,FALSE,TRUE,08/19/23,12:20 PM,01:20 PM,FREE,BUSY
08/20/23,01:20 PM,02:20 PM,Royals at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",08/20/23,08/20/23,04:20 PM,05:20 PM,FALSE,TRUE,08/20/23,12:20 PM,01:20 PM,FREE,BUSY
08/28/23,07:05 PM,08:05 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",08/28/23,08/28/23,10:05 PM,11:05 PM,FALSE,TRUE,08/28/23,06:05 PM,07:05 PM,FREE,BUSY
08/29/23,07:05 PM,08:05 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",08/29/23,08/29/23,10:05 PM,11:05 PM,FALSE,TRUE,08/29/23,06:05 PM,07:05 PM,FREE,BUSY
08/30/23,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",08/30/23,08/30/23,04:20 PM,05:20 PM,FALSE,TRUE,08/30/23,12:20 PM,01:20 PM,FREE,BUSY
09/04/23,01:20 PM,02:20 PM,Giants at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/04/23,09/04/23,04:20 PM,05:20 PM,FALSE,TRUE,09/04/23,12:20 PM,01:20 PM,FREE,BUSY
09/05/23,06:40 PM,07:40 PM,Giants at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/05/23,09/05/23,09:40 PM,10:40 PM,FALSE,TRUE,09/05/23,05:40 PM,06:40 PM,FREE,BUSY
09/06/23,01:20 PM,02:20 PM,Giants at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/06/23,09/06/23,04:20 PM,05:20 PM,FALSE,TRUE,09/06/23,12:20 PM,01:20 PM,FREE,BUSY
09/07/23,06:40 PM,07:40 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/07/23,09/07/23,09:40 PM,10:40 PM,FALSE,TRUE,09/07/23,05:40 PM,06:40 PM,FREE,BUSY
09/08/23,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/08/23,09/08/23,04:20 PM,05:20 PM,FALSE,TRUE,09/08/23,12:20 PM,01:20 PM,FREE,BUSY
09/09/23,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/09/23,09/09/23,04:20 PM,05:20 PM,FALSE,TRUE,09/09/23,12:20 PM,01:20 PM,FREE,BUSY
09/10/23,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/10/23,09/10/23,04:20 PM,05:20 PM,FALSE,TRUE,09/10/23,12:20 PM,01:20 PM,FREE,BUSY
09/19/23,06:40 PM,07:40 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/19/23,09/19/23,09:40 PM,10:40 PM,FALSE,TRUE,09/19/23,05:40 PM,06:40 PM,FREE,BUSY
09/20/23,06:40 PM,07:40 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/20/23,09/20/23,09:40 PM,10:40 PM,FALSE,TRUE,09/20/23,05:40 PM,06:40 PM,FREE,BUSY
09/21/23,06:40 PM,07:40 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/21/23,09/21/23,09:40 PM,10:40 PM,FALSE,TRUE,09/21/23,05:40 PM,06:40 PM,FREE,BUSY
09/22/23,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/22/23,09/22/23,04:20 PM,05:20 PM,FALSE,TRUE,09/22/23,12:20 PM,01:20 PM,FREE,BUSY
09/23/23,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/23/23,09/23/23,04:20 PM,05:20 PM,FALSE,TRUE,09/23/23,12:20 PM,01:20 PM,FREE,BUSY
09/24/23,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/24/23,09/24/23,04:20 PM,05:20 PM,FALSE,TRUE,09/24/23,12:20 PM,01:20 PM,FREE,BUSY
